Shaw	Url	id	user	nice	system	idle	cpu_jiffy_user	cpu_jiffy_kernel	cpu_jiffy_user_childs	cpu_jiffy_kernel_childs	iowait	irq	softirq	tot_intrpt	cntx	tot_process	minor_fault	minor_fault_childs	major_fault	major_fault_childs	no_threads	virtual_mem_size	resident_mem_size	total_cpu	duration	R*duration	G*duration	B*duration	lseek	rt_sigtimedwait	uname	kill	epoll_create	umask	send	writev	fchmod	getpid	epoll_wait	read	getgid32	cacheflush	gettid	fsync	geteuid32	recvfrom	sched_get_priority_max	sendto	clock_gettime	inotify_init	connect	getsockname	close	flock	getegid32	rt_sigprocmask	inotify_add_watch	access	sigaltstack	munmap	socketpair	setpgid	getcwd	symlink	getpeername	sigaction	setsockopt	socket	sendmsg	epoll_ctl	chmod	brk	poll	open	select	unlink	sigprocmask	getsockopt	getpriority	recv	nanosleep	mkdir	set_tls	rmdir	dup	mprotect	listen	fork	fchown32	getuid32	sched_yield	statfs64	gettimeofday	mremap	fcntl64	execve	msync	wait4	chdir	madvise	getrusage	sched_setscheduler	ftruncate	rename	getdents64	accept	readv	prctl	pipe	sched_getparam	rt_sigreturn	write	setpriority	recvmsg	getrlimit	stat	restart_syscall	clone	sched_getscheduler	ioctl	readlink	clock_nanosleep	pwrite	bind	futex	mmap2	utimes	energy
00A29B5DD9A7DC0E91081310B79D5341479B2A5AFF69C83E281C2F6AF6743642	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=00A29B5DD9A7DC0E91081310B79D5341479B2A5AFF69C83E281C2F6AF6743642	1	2657.8	0.9	956.6	9542.1	1838.6	117.5	0.0	0.0	66.0	0.9	0.3	86182.6	170650.4	180.4	9862.4	0.0	0.7	0.0	12.5	484003430.4	7710.1	1956.1	51	1428	1479	1326	40.7272727273	0.0	0.0	0.0	1.0	43.4545454545	0.0	62.8181818182	0.0	181.272727273	81.0	211.090909091	0.0	651.727272727	148.454545455	28.8181818182	0.0	43.1818181818	0.0	21.0	9122.54545455	0.0	3.09090909091	8.0	86.5454545455	0.0	0.0	0.0	0.0	24.7272727273	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0909090909	7.09090909091	0.0	3.0	7.54545454545	0.0	4.0	58.9090909091	0.0	2.0	445.818181818	8.0	38.9090909091	0.0	3764.72727273	2.54545454545	15.8181818182	0.0	13.9090909091	1466.81818182	0.0	0.0	21.7272727273	59.4545454545	1.63636363636	0.545454545455	136.727272727	2.18181818182	196.363636364	0.0	0.0	0.0	0.0	37.6363636364	0.0	0.0	0.0	2.0	0.0	0.0	0.0	13.8181818182	1.0	0.0	0.0	1632.36363636	14.8181818182	0.0	0.0	154.272727273	0.909090909091	15.8181818182	0.0	12946.7272727	0.0	0.0	52.7272727273	4.0	6455.18181818	103.727272727	0.0	72.416670282
00A6FDB4862D33F2B7BFC5F68861E756F6317026069FD1B1DEBEA978A38CEE4C	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=00A6FDB4862D33F2B7BFC5F68861E756F6317026069FD1B1DEBEA978A38CEE4C	2	4703.125	0.5	2680.5	8461.125	4365.25	2478.5	0.0	0.0	71.125	0.0	0.0	34316.375	52943.25	164.375	10552.0	0.0	0.0	0.0	15.25	489040896.0	8431.125	6843.75	64	12864	12864	12736	16.3	1.1	0.0	0.0	2.3	16.0	0.0	20.0	0.0	51714.9	103308.5	97.6	0.0	438.9	58.3	16.2	0.0	5.8	0.0	2.8	155903.3	0.0	0.0	0.0	56.7	0.2	0.0	0.0	0.0	8.7	0.0	28.4	0.0	0.0	0.0	0.0	0.0	10.0	1.6	0.0	0.0	3.9	4.0	0.0	0.0	56.7	0.0	0.7	335.3	0.0	26.4	0.0	8.8	2.6	3.8	0.0	2.7	984.0	0.0	0.0	8.0	51683.4	0.5	1.0	63.2	1.0	80.4	0.0	0.0	0.0	0.0	13.6	0.0	0.0	0.0	0.7	3.3	0.0	0.0	3.7	2.3	11.5	4.9	25.6	5.1	0.0	0.0	66.8	0.0	3.8	11.5	121.6	0.0	0.0	32.0	0.0	1420.1	49.9	0.0	120.850328903
00BFE3FA3C9950DF107C0552D43149C0F79FA2A12842FB268B1FE7A49C82C1A6	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=00BFE3FA3C9950DF107C0552D43149C0F79FA2A12842FB268B1FE7A49C82C1A6	3	1568.18181818	17.0909090909	684.909090909	25374.2727273	811.363636364	195.454545455	0.727272727273	1.72727272727	185.818181818	0.454545454545	1.54545454545	49247.6363636	69013.2727273	348.545454545	25499.1818182	1519.0	63.2727272727	0.0	18.3636363636	546740037.818	19047.2727273	1009.27272727	124	21576	21080	21080	364.375	0.0	0.0	0.0	3.375	67.25	0.0	145.875	3.0	2331.75	3949.625	1247.5	4.0	8568.25	297.625	115.5	4.0	318.375	0.0	97.25	14494.875	0.0	2.0	6.0	298.625	2.25	4.0	0.0	0.0	32.25	0.0	1742.0	2.0	1.0	0.0	0.0	0.0	7.0	9.0	8.0	0.0	53.875	2.0	13.0	1.0	313.75	3.0	26.625	1506.875	861.0	34.375	0.0	429.875	4.75	17.5	0.0	14.0	2949.375	0.0	1.0	33.625	2187.625	9.25	0.875	5557.375	1.125	566.5	1.0	1.0	1.0	0.0	53.375	0.0	0.0	5.0	0.0	2.0	0.0	0.0	10.125	4.375	0.0	0.0	1246.0	16.25	0.0	0.0	293.0	1.0	16.375	0.0	12318.875	0.0	0.0	1162.875	2.0	14202.125	2631.875	0.0	126.228339894
00DD48A56CB0F41BD7F00147C86A2F36DD4550B3263974FF4962A02EED4EC261	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=00DD48A56CB0F41BD7F00147C86A2F36DD4550B3263974FF4962A02EED4EC261	4	849.285714286	92.8571428571	365.0	16698.1428571	373.857142857	58.1428571429	0.0	0.0	52.0	0.142857142857	0.0	27873.1428571	45615.5714286	249.428571429	21026.4285714	0.0	37.7142857143	0.0	20.1428571429	537064594.286	18679.4285714	432.0	75	14700	14400	13500	84.8	0.2	0.0	0.0	4.0	14.0	0.0	31.9	1.0	570.6	721.2	318.7	4.0	5885.8	120.5	25.6	4.0	96.6	0.0	64.0	1984.1	0.0	0.0	0.0	74.2	0.2	4.0	0.0	0.0	24.8	0.0	164.2	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	7.0	14.2	0.0	0.0	77.9	0.0	10.0	1157.2	0.0	29.9	0.0	297.8	3.4	18.0	0.0	5.0	4878.3	0.0	0.0	7.0	499.6	7.5	1.0	1334.7	1.0	94.2	0.0	0.0	0.0	0.0	32.9	0.0	0.0	0.0	10.0	8.0	0.0	0.0	14.0	4.0	0.0	0.0	293.9	22.3	0.0	0.0	101.6	1.0	17.9	0.0	3882.4	0.0	1.0	35.0	1.0	7471.6	707.8	0.0	75.3855305447
00EB2F080BAFBD3155C9126899FE5F78904874AF07DFB102E6879DADABE5313B	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=00EB2F080BAFBD3155C9126899FE5F78904874AF07DFB102E6879DADABE5313B	5	1501.125	143.5	810.25	18691.25	940.125	296.5	0.0	0.0	98.25	0.625	2.75	69191.25	123251.125	272.125	19161.75	0.0	22.375	0.0	22.875	523094528.0	14740.0	1236.625	91	14287	13741	13013	45.3333333333	0.111111111111	1.0	0.0	4.0	76.2222222222	0.0	131.555555556	2.33333333333	26290.0	34586.6666667	1622.55555556	4.0	6090.77777778	337.777777778	69.1111111111	4.0	1059.44444444	0.0	54.1111111111	74600.4444444	0.0	10.4444444444	17.0	326.222222222	0.0	4.0	0.0	0.0	55.0	0.0	498.0	2.0	0.0	0.0	0.0	0.0	0.0	25.7777777778	55.7777777778	0.0	42.5555555556	12.6666666667	0.0	4.66666666667	227.888888889	6.33333333333	10.1111111111	2348.33333333	50.3333333333	74.1111111111	0.0	5308.55555556	6.0	27.4444444444	0.0	30.4444444444	8516.77777778	0.0	0.0	38.1111111111	26071.7777778	10.5555555556	4.0	111608.111111	2.44444444444	460.777777778	0.0	0.0	0.0	0.0	109.0	0.0	0.0	4.11111111111	2.66666666667	82.0	0.0	0.0	17.7777777778	6.0	0.0	0.0	1812.11111111	22.7777777778	0.0	0.0	498.888888889	1.0	27.4444444444	0.0	11474.8888889	0.0	5.88888888889	335.555555556	7.66666666667	32255.0	1056.22222222	0.0	99.9188729515
00F0E27E8520A1A8B501CE009BF7CE964C89BAE6A238B0812A48048C10357ACA	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=00F0E27E8520A1A8B501CE009BF7CE964C89BAE6A238B0812A48048C10357ACA	6	2826.7	47.3	955.7	18060.9	1903.8	311.5	27.4	3.9	340.5	0.0	3.7	63069.4	116950.5	337.7	95917.4	3208.2	28.2	0.6	28.1	581758156.8	32577.0	2246.6	96	14304	16128	16896	281.916666667	0.0	1.0	0.0	5.0	560.333333333	0.0	250.333333333	3.0	1611.33333333	1784.08333333	2213.5	4.0	33518.5833333	435.75	251.75	4.0	713.083333333	0.0	115.833333333	15261.5833333	0.0	11.25	15.3333333333	720.833333333	2.16666666667	4.0	0.0	0.0	266.5	0.0	1314.08333333	2.0	1.0	0.0	0.0	0.0	7.0	53.5833333333	17.5833333333	0.0	67.1666666667	46.8333333333	16.0	3.0	614.5	32.4166666667	10.0833333333	3481.25	4323.83333333	177.166666667	0.0	2334.83333333	10.5	51.9166666667	0.0	58.0	13835.3333333	0.0	1.0	280.166666667	1298.75	11.75	2.0	4508.16666667	1.5	2280.41666667	1.0	1.0	1.0	0.0	115.5	0.0	0.0	3.0	12.0833333333	8.5	0.0	0.0	36.0833333333	12.0	0.0	0.0	1660.58333333	47.4166666667	0.0	0.0	1789.08333334	0.0	50.9166666667	0.0	9139.66666667	0.0	6.83333333333	1187.33333333	8.0	24643.4166667	2253.58333333	0.0	125.453822192
00F1A4ABEAFACE0E8D74EB927D15049B83DD978498AFF5E66BBC1C1D708DAB31	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=00F1A4ABEAFACE0E8D74EB927D15049B83DD978498AFF5E66BBC1C1D708DAB31	7	7117.8	1.7	2068.1	19363.0	5527.9	561.9	0.0	0.0	74.4	0.8	0.3	265720.5	478872.8	365.5	27665.8	0.0	6.8	0.0	15.3	515444326.4	14205.7	6089.8	128	23168	16896	3968	1025.28571429	0.0	0.0	0.0	2.0	0.0	0.0	1660.28571429	1.57142857143	9311.28571429	12266.1428571	3874.85714286	0.0	2613.42857143	46836.4285714	21.7142857143	5.0	2048.28571429	1.0	134.0	106515.428571	0.0	4.0	8.0	167.857142857	0.0	0.0	0.0	0.0	1602.71428571	0.0	381.142857143	0.0	0.0	0.0	0.0	0.0	28.0	12.0	8.0	0.0	5.0	4.71428571429	0.0	4.0	141.428571429	5.85714285714	5.57142857143	1665.0	416.0	35.2857142857	0.0	11656.5714286	11.7142857143	19.4285714286	1.0	14.0	5864.85714286	0.0	0.0	0.0	5581.14285714	77.4285714286	0.0	89.2857142857	18.0	95.8571428571	0.0	0.0	0.0	0.0	1006.28571429	0.0	0.0	0.0	0.0	2.0	0.0	0.0	14.8571428571	4.0	0.0	0.0	3046.14285714	15.8571428571	0.0	0.0	239.714285714	1.0	19.4285714286	0.0	32086.1428571	0.0	0.0	0.0	4.0	66724.1428571	2594.14285714	0.0	206.044521943
00F71DC97DEE46F8001B7DFC8A0D85E156FC4C69DFD16FE84242F436380A5B4C	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=00F71DC97DEE46F8001B7DFC8A0D85E156FC4C69DFD16FE84242F436380A5B4C	8	934.5	12.2	544.7	13419.5	369.4	86.6	0.0	0.4	63.9	0.8	3.4	40108.2	67320.6	193.5	32288.0	422.9	7.7	0.0	16.9	494179942.4	11655.6	456.4	59	6195	6077	6077	40.2727272727	0.181818181818	0.0	0.0	0.181818181818	0.0	0.0	86.0	0.0	743.909090909	784.909090909	869.090909091	0.0	2908.81818182	255.272727273	21.0	0.0	306.363636364	0.0	33.7272727273	5609.36363636	0.0	6.18181818182	20.0	247.181818182	0.0	0.0	0.0	0.0	30.7272727273	0.0	195.0	0.0	0.0	0.0	0.0	0.0	12.7272727273	19.1818181818	16.1818181818	0.0	18.1818181818	23.0	35.7272727273	10.0	70.5454545455	522.727272727	18.0	1995.54545455	20.0	105.727272727	0.0	27.0	2.0	33.1818181818	0.0	45.2727272728	6227.63636364	0.0	1.81818181818	0.0	555.181818182	7.0	0.0	90.4545454545	3.0	62.9090909091	1.81818181818	0.0	2.0	0.0	102.727272727	0.0	0.0	0.0	18.0	19.0	0.0	0.0	26.1818181818	7.09090909091	0.0	0.0	581.272727273	34.8181818182	0.0	1.81818181818	241.545454545	1.72727272727	31.2727272727	0.0	2190.63636364	0.0	7.81818181818	0.0	10.0	10492.2727273	296.181818182	0.0	65.2576121309
00F766453799354108F73441B14B5B2659827665694A5944B084A5F6AD75CE65	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=00F766453799354108F73441B14B5B2659827665694A5944B084A5F6AD75CE65	9	1103.55555556	1.88888888889	605.111111111	23333.3333333	327.777777778	110.555555556	0.666666666667	2.0	62.3333333333	0.777777777778	0.555555555556	44857.6666667	72807.3333333	326.888888889	34006.8888889	1464.0	35.8888888889	0.0	21.0	539305756.444	25283.4444444	441.0	110	15730	15730	15730	152.888888889	0.111111111111	0.0	0.0	4.0	28.6666666667	0.0	77.7777777778	2.0	951.111111111	1121.0	578.222222222	4.0	4766.33333333	283.444444444	46.3333333333	4.0	315.888888889	0.0	131.0	5630.88888889	0.0	3.0	3.0	163.555555556	2.22222222222	4.0	0.0	0.0	31.7777777778	0.0	475.777777778	2.0	1.0	0.0	0.0	0.0	7.0	6.0	5.0	0.0	24.5555555556	4.0	13.0	0.0	152.444444444	0.0	9.33333333333	1982.55555556	2.0	68.4444444444	0.0	87.3333333333	5.55555555556	30.1111111111	0.0	21.0	6285.44444444	0.0	1.0	14.3333333333	747.333333333	7.88888888889	1.0	589.111111111	1.0	269.222222222	1.0	1.0	1.0	0.0	53.8888888889	0.0	0.0	3.0	0.0	2.0	0.0	0.0	22.8888888889	4.0	0.0	0.0	545.111111111	25.8888888889	0.0	0.0	174.777777778	1.0	29.1111111111	0.0	4445.11111111	0.0	0.0	132.444444444	2.0	10896.8888889	1209.11111111	0.0	106.399020115
0A018BC32776DFE604EA9B7B4853E1E25313D678A7F19AE939C2AB89D69F6DB0	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=0A018BC32776DFE604EA9B7B4853E1E25313D678A7F19AE939C2AB89D69F6DB0	10	1146.33333333	2.55555555556	665.111111111	25441.6666667	380.555555556	58.2222222222	0.0	0.0	84.6666666667	0.555555555556	9.55555555556	63681.6666667	96681.3333333	297.777777778	18302.1111111	0.0	23.2222222222	0.0	20.2222222222	506720256.0	10843.2222222	438.777777778	121	22022	22990	23958	30.8	0.1	0.0	0.0	3.7	48.0	0.0	33.9	0.0	881.1	1059.5	457.9	4.0	4482.6	346.5	50.0	4.0	301.3	0.0	124.0	4952.1	0.0	3.0	3.0	96.9	0.2	4.0	0.0	0.0	17.4	0.0	140.1	2.0	0.0	0.0	0.0	0.0	0.0	7.0	5.0	0.0	22.7	3.8	0.0	0.0	88.7	0.0	5.0	912.2	1.0	60.7	0.0	175.6	2.7	28.0	0.0	13.0	2540.3	0.0	0.0	24.0	630.3	8.0	0.9	848.5	2.0	300.2	0.0	0.0	0.0	0.0	20.6	0.0	0.0	3.0	0.0	2.0	0.0	0.0	24.0	3.7	0.0	0.0	549.2	30.1	0.0	0.0	174.2	1.0	27.9	0.0	1838.4	0.0	0.0	136.0	2.0	4913.1	296.2	0.0	135.897682934
0A235010E5D767B69174EA038B8887F0D5276199FE6299DBBA32C83FD01271F7	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=0A235010E5D767B69174EA038B8887F0D5276199FE6299DBBA32C83FD01271F7	11	483.272727273	1.45454545455	306.181818182	18197.6363636	87.1818181818	34.7272727273	0.0	0.0	50.0909090909	0.0909090909091	0.545454545455	23629.0909091	31519.2727273	202.545454545	10289.4545455	0.0	0.727272727273	0.0	18.0	499446877.091	10950.0909091	121.909090909	80	8800	11440	13200	75.8571428571	0.0	0.0	0.0	0.428571428571	0.0	0.0	17.8571428571	1.0	149.0	155.428571429	286.571428571	0.0	939.857142857	102.0	3.0	0.0	57.0	0.0	54.0	550.571428571	0.0	3.14285714286	3.14285714286	39.2857142857	0.0	0.0	0.0	0.0	15.2857142857	0.0	92.1428571429	0.0	0.0	0.0	0.0	0.0	0.857142857143	4.14285714286	4.28571428571	0.0	2.42857142857	4.14285714286	0.0	0.0	33.8571428571	0.0	1.0	552.571428571	0.142857142857	56.2857142857	0.0	882.857142857	2.0	20.7142857143	0.0	5.0	2158.14285714	0.0	0.0	0.0	72.5714285714	0.571428571429	0.0	29.1428571429	1.0	10.0	0.0	0.0	0.0	0.0	30.2857142857	0.0	0.0	0.0	1.0	2.0	0.0	0.0	17.7142857143	0.428571428571	0.0	0.0	159.285714286	18.4285714286	0.0	0.0	63.7142857143	1.14285714286	20.5714285714	0.0	838.285714286	0.0	0.0	0.0	2.14285714286	3394.57142857	379.714285714	0.0	73.2360754976
0A407A6F22877024D54BA9B0D795A57A37061BFCFCBED33EF43C3F61C3872B8E	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=0A407A6F22877024D54BA9B0D795A57A37061BFCFCBED33EF43C3F61C3872B8E	12	1651.0	61.6	610.7	18212.5	1035.5	172.0	0.0	0.0	172.1	0.3	1.3	40102.1	65076.7	297.4	34751.5	0.0	2.2	0.0	35.6	593149542.4	27347.4	1207.5	87	8004	8091	8004	109.2	0.0	1.0	0.0	5.0	177.6	0.0	184.6	2.0	2048.9	2775.4	1225.2	4.0	26425.0	390.7	186.0	4.0	140.7	0.0	44.0	7893.8	0.0	6.0	11.0	303.6	0.2	4.0	0.0	0.0	149.4	0.0	829.1	2.0	0.0	0.0	0.0	0.0	0.0	15.0	13.0	0.0	20.0	24.0	0.0	5.0	287.6	15.7	30.0	1773.7	1228.4	78.7	0.0	2122.6	18.0	43.5	0.0	14.5	4417.7	0.0	0.0	88.8	1837.2	10.3	4.0	9700.8	2.1	906.6	0.0	0.0	0.0	0.0	101.2	0.0	0.0	4.0	12.0	16.0	0.0	0.0	35.5	10.0	0.0	0.0	856.1	61.7	0.0	0.0	642.7	1.0	43.5	0.0	5428.2	0.0	0.0	488.0	6.0	13063.6	1628.1	0.0	88.6622943474
0A457ADBFFE43E4883DC70646EA2B7C427F3B7CE298A2EA306C3FE4475C3DDED	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=0A457ADBFFE43E4883DC70646EA2B7C427F3B7CE298A2EA306C3FE4475C3DDED	13	2117.33333333	5.75	1215.08333333	29360.25	344.916666667	63.0	0.0	0.0	142.25	1.58333333333	10.8333333333	99181.0833333	167014.75	479.5	17506.5	0.0	3.41666666667	0.0	12.75	485550762.667	9270.0	407.916666667	149	12367	12367	10877	24.9	0.0	0.0	0.0	1.0	148.0	0.0	75.0	0.0	874.4	870.4	539.7	0.0	1344.4	316.4	137.0	0.0	427.6	0.0	198.0	4295.1	0.0	13.0	14.0	255.0	0.2	0.0	0.0	0.0	53.7	0.0	172.4	0.0	0.0	0.0	0.0	0.0	0.0	23.0	14.0	0.0	47.0	8.5	0.0	1.0	162.4	0.0	0.0	1225.6	7.0	86.9	0.0	5.3	2.9	13.2	0.0	56.0	3060.1	0.0	0.0	74.0	579.7	1.9	1.0	325.4	2.7	624.4	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	10.5	1.0	0.0	0.0	718.3	11.4	0.0	0.0	377.7	1.0	13.2	0.0	6583.1	0.0	0.0	341.0	7.0	5471.7	265.3	0.0	164.334303179
0A4E83B88192A1616D3D6FE071339FBFADF2E385336B5A618CD00ED4A8401175	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=0A4E83B88192A1616D3D6FE071339FBFADF2E385336B5A618CD00ED4A8401175	14	455.333333333	17.0	290.222222222	12119.0	96.2222222222	38.3333333333	0.0	0.0	21.4444444444	0.222222222222	0.333333333333	18833.6666667	29470.8888889	146.0	10935.5555556	0.0	7.11111111111	0.0	11.4444444444	496038343.111	11617.3333333	134.555555556	48	7776	7728	7680	37.0	0.0	0.0	0.0	0.0	0.0	0.0	30.625	1.0	222.875	260.875	159.0	0.0	601.5	76.625	1.0	0.0	82.875	0.0	18.0	1377.5	0.0	2.0	2.0	57.25	0.0	0.0	0.0	0.0	5.0	0.0	438.75	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	6.0	2.0	0.0	0.0	37.25	3.0	0.0	574.75	397.0	33.75	0.0	4.375	1.0	9.0	0.0	12.0	1582.5	0.0	0.0	0.0	168.625	1.375	0.0	29.0	1.0	14.0	0.0	0.0	0.0	0.0	30.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.125	1.0	0.0	0.0	177.125	8.125	0.0	0.0	26.25	1.375	9.0	0.0	2616.0	0.0	0.0	0.0	1.0	2816.75	753.375	0.0	46.9114971566
0A5015CAD5300E6EDB77CFA908387FB19E86397154297B295E96730F679188A5	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=0A5015CAD5300E6EDB77CFA908387FB19E86397154297B295E96730F679188A5	15	750.333333333	0.444444444444	409.111111111	25245.6666667	55.4444444444	21.6666666667	0.0	0.0	47.8888888889	0.111111111111	0.222222222222	27752.7777778	37541.1111111	324.888888889	8066.66666667	0.0	0.444444444444	0.0	9.66666666667	489132942.222	10173.2222222	77.1111111111	117	4914	4095	4095	35.0	0.0	0.0	0.0	0.0	0.0	0.0	16.4444444444	1.0	139.888888889	175.111111111	92.3333333333	0.0	32.0	80.5555555556	0.0	0.0	97.1111111111	0.0	73.1111111111	651.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	5.0	0.0	170.555555556	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	49.0	0.0	0.0	108.222222222	0.0	67.6666666667	0.0	4.22222222222	0.0	18.8888888889	0.0	24.0	123.333333333	0.0	0.0	0.0	86.4444444444	0.333333333333	0.0	0.0	1.0	8.0	0.0	0.0	0.0	0.0	22.1111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.8888888889	0.0	0.0	0.0	198.0	16.8888888889	0.0	0.0	14.2222222222	1.11111111111	18.8888888889	0.0	1366.55555556	0.0	1.55555555556	0.0	0.0	416.888888889	590.333333333	0.0	88.2505225108
0A54FBD9657B4D87C8C111C60BCDEF7F215DE0C1F7DBE76F30F9DD313DA0BADA	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=0A54FBD9657B4D87C8C111C60BCDEF7F215DE0C1F7DBE76F30F9DD313DA0BADA	16	4213.14285714	207.857142857	1233.42857143	22426.0	3151.0	378.0	1.0	2.0	196.714285714	0.0	9.0	85623.4285714	141592.0	477.857142857	118845.714286	1605.0	14.4285714286	0.0	37.1428571429	548392960.0	30348.7142857	3532.0	125	10125	9750	9625	148.571428571	0.142857142857	0.0	0.0	5.14285714286	120.571428571	0.0	446.0	1.0	7697.85714286	10186.1428571	8762.0	4.0	19792.1428571	1623.0	141.285714286	4.0	1371.14285714	0.0	207.857142857	40982.2857143	0.0	14.4285714286	34.5714285714	517.857142857	2.0	4.0	0.0	0.0	74.2857142857	0.0	759.285714286	2.0	1.0	0.0	0.0	0.0	7.0	68.2857142857	37.0	0.0	186.142857143	15.5714285714	13.0	11.0	368.0	6.0	45.4285714286	3535.14285714	4659.42857143	276.714285714	0.0	585.428571429	7.0	65.1428571429	0.0	78.5714285714	11169.4285714	0.0	1.0	60.2857142857	6916.85714286	19.4285714286	1.0	21512.1428571	2.71428571429	920.0	1.0	1.0	1.0	0.0	207.0	0.0	0.0	5.14285714286	4.42857142857	3.28571428571	0.0	0.0	49.5714285714	7.57142857143	0.0	0.0	3835.0	113.0	0.0	0.0	1055.42857143	1.85714285714	64.1428571429	0.0	9642.57142857	0.0	23.1428571429	2538.28571429	13.0	25680.4285714	1250.0	0.0	159.036527787
0A60A4CE1AF6AAD72832B89B586BA5A18BE46F5807CFAA91D8CEC949A9E89CC4	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=0A60A4CE1AF6AAD72832B89B586BA5A18BE46F5807CFAA91D8CEC949A9E89CC4	17	1605.85714286	145.714285714	858.142857143	11173.0	1114.57142857	319.142857143	0.571428571429	3.14285714286	301.142857143	0.285714285714	15.5714285714	85616.0	135053.285714	373.857142857	58660.7142857	1865.0	37.7142857143	0.0	45.7142857143	604396982.857	32049.0	1437.42857143	54	8640	8046	8802	295.727272727	0.181818181818	0.0	0.0	6.0	86.0	0.0	369.272727273	3.0	6003.09090909	7240.18181818	3489.45454545	4.0	16872.4545455	1088.45454545	162.909090909	4.0	1510.72727273	0.0	110.727272727	26900.8181818	0.0	54.5454545455	121.727272727	1079.72727273	4.0	4.0	0.0	0.0	338.454545455	0.0	677.454545455	2.0	1.0	0.0	0.0	0.0	23.3636363636	178.818181818	136.181818182	0.0	181.181818182	91.0	25.0	34.2727272727	712.272727273	18.2727272727	83.4545454545	4941.81818182	135.818181818	193.454545455	0.0	693.636363636	25.0	116.909090909	0.0	56.5454545455	17122.5454545	0.0	3.0	43.0	5179.36363636	35.0	3.0	16823.5454545	1.72727272727	746.636363636	3.0	1.0	3.0	0.0	209.181818182	0.0	0.0	7.90909090909	64.6363636364	98.0909090909	0.0	0.0	104.272727273	19.2727272727	4.36363636364	0.818181818182	4537.72727273	188.181818182	0.0	2.0	1568.54545455	1.27272727273	113.909090909	4.36363636364	6758.09090909	0.0	0.0	1282.0	51.1818181818	31844.4545455	1893.54545455	0.0	82.9805150575
0A82A64D8756C4D42A93CB64FC95657EEBF954B4ED826D06EA7F5371DA961FB6	https://androzoo.uni.lu/api/download?apikey=${APIKEY}&sha256=0A82A64D8756C4D42A93CB64FC95657EEBF954B4ED826D06EA7F5371DA961FB6	18	1717.77777778	0.888888888889	583.222222222	21072.1111111	959.666666667	108.444444444	0.777777777778	1.44444444444	127.888888889	0.222222222222	6.77777777778	55003.7777778	70803.8888889	339.555555556	28871.5555556	1463.77777778	16.4444444444	0.0	22.2222222222	533359729.778	16592.7777778	1070.33333333	102	17340	16830	13362	214.857142857	0.0	0.0	0.0	4.0	40.5714285714	0.0	62.0	1.0	1705.71428571	3228.14285714	3999.0	4.0	4826.42857143	580.142857143	56.5714285714	4.0	280.0	0.0	149.0	32059.1428571	0.0	15.0	34.0	260.571428571	2.0	4.0	0.0	0.0	39.7142857143	0.0	235.0	2.0	1.0	0.0	0.0	0.0	7.0	47.0	46.0	0.0	426.428571429	7.0	13.0	0.0	259.285714286	0.0	16.4285714286	2130.57142857	32.0	72.4285714286	0.0	173.0	5.42857142857	34.5714285714	0.0	12.0	3603.85714286	0.0	1.0	20.2857142857	1412.28571429	13.1428571429	1.0	9761.0	1.57142857143	387.571428571	1.0	1.0	1.0	0.0	124.0	0.0	0.0	5.0	3.0	2.0	0.0	0.0	27.4285714286	4.0	0.0	0.0	2151.14285714	33.4285714286	0.0	0.0	246.285714286	1.28571428571	33.5714285714	0.0	2105.57142857	0.0	0.0	4105.57142857	3.0	8771.85714286	1134.42857143	0.0	107.042792963
